revision,step,wrow_max_eig,wrow_stable_rank,wrow_trace,token_id
step38000,38000,65.82620239257812,1.0,65.82620239257812,4370
step39000,39000,52.61904525756836,1.0,52.61904525756836,4370
step40000,40000,93.66170501708984,1.0,93.66170501708984,4370
step41000,41000,121.37659454345703,1.0,121.3765869140625,4370
step42000,42000,184.7815704345703,1.0,184.7815704345703,4370
step43000,43000,93.60001373291016,1.0,93.60001373291016,4370
step44000,44000,112.36677551269531,1.0,112.36678314208984,4370
step45000,45000,106.97614288330078,1.0,106.97613525390625,4370
step46000,46000,223.23912048339844,1.0,223.23912048339844,4370
step47000,47000,158.375,1.0,158.375,4370
step48000,48000,52.81174850463867,1.0,52.81174087524414,4370
step49000,49000,200.70999145507812,1.0,200.70999145507812,4370
step50000,50000,336.4075927734375,1.0,336.4075927734375,4370
step51000,51000,56.28938674926758,1.0,56.28938674926758,4370
step52000,52000,115.23080444335938,1.0,115.23080444335938,4370
step53000,53000,93.98655700683594,1.0,93.98655700683594,4370
step54000,54000,370.4725646972656,1.0,370.4725646972656,4370
step55000,55000,347.1968078613281,1.0,347.19677734375,4370
step56000,56000,289.2270812988281,1.0,289.2270812988281,4370
step57000,57000,158.38034057617188,1.0,158.3803253173828,4370
step58000,58000,372.5286560058594,1.0,372.52862548828125,4370
step59000,59000,212.06826782226562,1.0,212.06826782226562,4370
step60000,60000,408.6061096191406,1.0,408.6061096191406,4370
step61000,61000,571.1760864257812,1.0,571.1760864257812,4370
step62000,62000,172.01788330078125,1.0,172.01788330078125,4370
step63000,63000,1122.846923828125,1.0,1122.846923828125,4370
step64000,64000,458.4649658203125,1.0,458.4649658203125,4370
step65000,65000,516.1417846679688,1.0,516.1417846679688,4370
step66000,66000,1132.4344482421875,1.0,1132.4344482421875,4370
step67000,67000,1366.675537109375,1.0,1366.67578125,4370
step68000,68000,1165.0919189453125,1.0,1165.092041015625,4370
step69000,69000,2308.79736328125,1.0,2308.797607421875,4370
step70000,70000,3071.88818359375,1.0,3071.88818359375,4370
step71000,71000,1387.8023681640625,1.0,1387.80224609375,4370
step72000,72000,817.5604248046875,1.0,817.5604248046875,4370
step73000,73000,950.2234497070312,1.0,950.2234497070312,4370
step74000,74000,1513.744384765625,1.0,1513.7442626953125,4370
step75000,75000,3416.88037109375,1.0,3416.880615234375,4370
step76000,76000,3710.531494140625,1.0,3710.531494140625,4370
step77000,77000,3127.722412109375,1.0,3127.72265625,4370
step78000,78000,1432.6541748046875,1.0,1432.6541748046875,4370
step79000,79000,3425.53759765625,1.0,3425.537353515625,4370
step80000,80000,2162.181640625,1.0,2162.181640625,4370
step81000,81000,4324.86083984375,1.0,4324.8603515625,4370
